goos: darwin
goarch: arm64
pkg: github.com/yaklang/yaklang/common/bin-parser/parser/base
BenchmarkConfigStoreConstruction/ordered/4         	  435796	       770.3 ns/op	     696 B/op	       8 allocs/op
BenchmarkConfigStoreConstruction/ordered/4         	  462462	       763.9 ns/op	     696 B/op	       8 allocs/op
BenchmarkConfigStoreConstruction/ordered/4         	  470338	       759.2 ns/op	     696 B/op	       8 allocs/op
BenchmarkConfigStoreConstruction/compact/4         	 1000000	       337.9 ns/op	     320 B/op	       1 allocs/op
BenchmarkConfigStoreConstruction/compact/4         	 1000000	       334.3 ns/op	     320 B/op	       1 allocs/op
BenchmarkConfigStoreConstruction/compact/4         	 1000000	       333.9 ns/op	     320 B/op	       1 allocs/op
BenchmarkConfigStoreConstruction/ordered/8         	  206906	      1723 ns/op	    1529 B/op	      10 allocs/op
BenchmarkConfigStoreConstruction/ordered/8         	  214978	      1721 ns/op	    1529 B/op	      10 allocs/op
BenchmarkConfigStoreConstruction/ordered/8         	  209508	      1727 ns/op	    1529 B/op	      10 allocs/op
BenchmarkConfigStoreConstruction/compact/8         	  423427	       873.6 ns/op	     832 B/op	       2 allocs/op
BenchmarkConfigStoreConstruction/compact/8         	  436647	       956.7 ns/op	     832 B/op	       2 allocs/op
BenchmarkConfigStoreConstruction/compact/8         	  423796	       875.1 ns/op	     832 B/op	       2 allocs/op
BenchmarkConfigStoreConstruction/ordered/16        	   95773	      3763 ns/op	    3283 B/op	      12 allocs/op
BenchmarkConfigStoreConstruction/ordered/16        	   93403	      3778 ns/op	    3283 B/op	      12 allocs/op
BenchmarkConfigStoreConstruction/ordered/16        	   96295	      3759 ns/op	    3283 B/op	      12 allocs/op
BenchmarkConfigStoreConstruction/compact/16        	  130959	      2642 ns/op	    2938 B/op	       5 allocs/op
BenchmarkConfigStoreConstruction/compact/16        	  137240	      2659 ns/op	    2938 B/op	       5 allocs/op
BenchmarkConfigStoreConstruction/compact/16        	  133216	      2660 ns/op	    2938 B/op	       5 allocs/op
BenchmarkConfigStoreConstruction/ordered/32        	   45936	      7809 ns/op	    6972 B/op	      15 allocs/op
BenchmarkConfigStoreConstruction/ordered/32        	   45987	      7861 ns/op	    6974 B/op	      15 allocs/op
BenchmarkConfigStoreConstruction/ordered/32        	   45596	      7913 ns/op	    6972 B/op	      15 allocs/op
BenchmarkConfigStoreConstruction/compact/32        	   59522	      5956 ns/op	    4898 B/op	       6 allocs/op
BenchmarkConfigStoreConstruction/compact/32        	   60235	      5946 ns/op	    4899 B/op	       6 allocs/op
BenchmarkConfigStoreConstruction/compact/32        	   60628	      5927 ns/op	    4898 B/op	       6 allocs/op
PASS
ok  	github.com/yaklang/yaklang/common/bin-parser/parser/base	9.762s
