goos: darwin
goarch: arm64
pkg: github.com/yaklang/yaklang/common/bin-parser
BenchmarkCurrentCorpusApplicationFields               	     258	   2931148 ns/op	   0.48 MB/s	      1421 input-B/op	        11.00 messages/op	      3753 messages/s	         1.000 workers	 2039199 B/op	   32403 allocs/op
BenchmarkCurrentCorpusApplicationFields               	     258	   2767788 ns/op	   0.51 MB/s	      1421 input-B/op	        11.00 messages/op	      3974 messages/s	         1.000 workers	 2039129 B/op	   32403 allocs/op
BenchmarkCurrentCorpusApplicationFields               	     256	   2764824 ns/op	   0.51 MB/s	      1421 input-B/op	        11.00 messages/op	      3979 messages/s	         1.000 workers	 2038937 B/op	   32403 allocs/op
BenchmarkCurrentCorpusApplicationFields-4             	     480	   1483139 ns/op	   0.96 MB/s	      1421 input-B/op	        11.00 messages/op	      7417 messages/s	         4.000 workers	 2039649 B/op	   32410 allocs/op
BenchmarkCurrentCorpusApplicationFields-4             	     489	   1484798 ns/op	   0.96 MB/s	      1421 input-B/op	        11.00 messages/op	      7408 messages/s	         4.000 workers	 2039513 B/op	   32409 allocs/op
BenchmarkCurrentCorpusApplicationFields-4             	     478	   1483932 ns/op	   0.96 MB/s	      1421 input-B/op	        11.00 messages/op	      7413 messages/s	         4.000 workers	 2039607 B/op	   32410 allocs/op
BenchmarkCurrentCorpusApplicationFields-8             	     518	   1358529 ns/op	   1.05 MB/s	      1421 input-B/op	        11.00 messages/op	      8097 messages/s	         8.000 workers	 2040226 B/op	   32418 allocs/op
BenchmarkCurrentCorpusApplicationFields-8             	     520	   1362813 ns/op	   1.04 MB/s	      1421 input-B/op	        11.00 messages/op	      8072 messages/s	         8.000 workers	 2040119 B/op	   32418 allocs/op
BenchmarkCurrentCorpusApplicationFields-8             	     525	   1359281 ns/op	   1.05 MB/s	      1421 input-B/op	        11.00 messages/op	      8093 messages/s	         8.000 workers	 2040153 B/op	   32418 allocs/op
BenchmarkCurrentCorpusApplicationFields-10            	     529	   1326336 ns/op	   1.07 MB/s	      1421 input-B/op	        11.00 messages/op	      8294 messages/s	        10.00 workers	 2040434 B/op	   32422 allocs/op
BenchmarkCurrentCorpusApplicationFields-10            	     538	   1338559 ns/op	   1.06 MB/s	      1421 input-B/op	        11.00 messages/op	      8218 messages/s	        10.00 workers	 2040474 B/op	   32422 allocs/op
BenchmarkCurrentCorpusApplicationFields-10            	     537	   1354445 ns/op	   1.05 MB/s	      1421 input-B/op	        11.00 messages/op	      8121 messages/s	        10.00 workers	 2040342 B/op	   32422 allocs/op
BenchmarkCurrentCorpusApplicationJSON                 	     181	   3960032 ns/op	   0.36 MB/s	      1421 input-B/op	        11.00 messages/op	      2778 messages/s	         1.000 workers	 2513182 B/op	   45189 allocs/op
BenchmarkCurrentCorpusApplicationJSON                 	     178	   4020220 ns/op	   0.35 MB/s	      1421 input-B/op	        11.00 messages/op	      2736 messages/s	         1.000 workers	 2513168 B/op	   45190 allocs/op
BenchmarkCurrentCorpusApplicationJSON                 	     171	   4114494 ns/op	   0.35 MB/s	      1421 input-B/op	        11.00 messages/op	      2673 messages/s	         1.000 workers	 2513307 B/op	   45190 allocs/op
BenchmarkCurrentCorpusApplicationJSON-4               	     288	   2438314 ns/op	   0.58 MB/s	      1421 input-B/op	        11.00 messages/op	      4511 messages/s	         4.000 workers	 2516923 B/op	   45197 allocs/op
BenchmarkCurrentCorpusApplicationJSON-4               	     315	   2229368 ns/op	   0.64 MB/s	      1421 input-B/op	        11.00 messages/op	      4934 messages/s	         4.000 workers	 2515441 B/op	   45197 allocs/op
BenchmarkCurrentCorpusApplicationJSON-4               	     318	   2227843 ns/op	   0.64 MB/s	      1421 input-B/op	        11.00 messages/op	      4938 messages/s	         4.000 workers	 2514341 B/op	   45196 allocs/op
BenchmarkCurrentCorpusApplicationJSON-8               	     351	   2031390 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5415 messages/s	         8.000 workers	 2533776 B/op	   45211 allocs/op
BenchmarkCurrentCorpusApplicationJSON-8               	     354	   2028961 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5421 messages/s	         8.000 workers	 2532220 B/op	   45211 allocs/op
BenchmarkCurrentCorpusApplicationJSON-8               	     352	   2051465 ns/op	   0.69 MB/s	      1421 input-B/op	        11.00 messages/op	      5362 messages/s	         8.000 workers	 2537116 B/op	   45214 allocs/op
BenchmarkCurrentCorpusApplicationJSON-10              	     360	   2018974 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5448 messages/s	        10.00 workers	 2537758 B/op	   45218 allocs/op
BenchmarkCurrentCorpusApplicationJSON-10              	     356	   2002205 ns/op	   0.71 MB/s	      1421 input-B/op	        11.00 messages/op	      5494 messages/s	        10.00 workers	 2541079 B/op	   45220 allocs/op
BenchmarkCurrentCorpusApplicationJSON-10              	     355	   2016296 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5456 messages/s	        10.00 workers	 2537443 B/op	   45219 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields       	     266	   2710980 ns/op	   0.52 MB/s	      1421 input-B/op	        11.00 messages/op	      4058 messages/s	         1.000 workers	 2030355 B/op	   32293 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields       	     265	   2712051 ns/op	   0.52 MB/s	      1421 input-B/op	        11.00 messages/op	      4056 messages/s	         1.000 workers	 2030185 B/op	   32293 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields       	     262	   2709973 ns/op	   0.52 MB/s	      1421 input-B/op	        11.00 messages/op	      4059 messages/s	         1.000 workers	 2030322 B/op	   32293 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-4     	     489	   1464603 ns/op	   0.97 MB/s	      1421 input-B/op	        11.00 messages/op	      7511 messages/s	         4.000 workers	 2030694 B/op	   32299 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-4     	     495	   1471072 ns/op	   0.97 MB/s	      1421 input-B/op	        11.00 messages/op	      7478 messages/s	         4.000 workers	 2030691 B/op	   32299 allocs/op
BenchmarkCurrentCorpusPreparedApplicationFields-4     	     486	   1470090 ns/op	   0.97 MB/s	      1421 input-B/op	        11.00 messages/op	      7483 messages/s	         4.000 workers	 2030684 B/op	   32299 allocs/op
