goos: darwin
goarch: arm64
pkg: github.com/yaklang/yaklang/common/bin-parser
BenchmarkCurrentCorpusApplicationJSONRepeatedReference       	     184	   3895862 ns/op	   0.36 MB/s	      1421 input-B/op	        11.00 messages/op	      2824 messages/s	         1.000 workers	 2513140 B/op	   45189 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference       	     181	   3908034 ns/op	   0.36 MB/s	      1421 input-B/op	        11.00 messages/op	      2815 messages/s	         1.000 workers	 2513318 B/op	   45190 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference       	     182	   3902027 ns/op	   0.36 MB/s	      1421 input-B/op	        11.00 messages/op	      2819 messages/s	         1.000 workers	 2513365 B/op	   45190 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-4     	     315	   2253817 ns/op	   0.63 MB/s	      1421 input-B/op	        11.00 messages/op	      4881 messages/s	         4.000 workers	 2518815 B/op	   45198 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-4     	     318	   2264152 ns/op	   0.63 MB/s	      1421 input-B/op	        11.00 messages/op	      4858 messages/s	         4.000 workers	 2518456 B/op	   45198 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-4     	     314	   2250178 ns/op	   0.63 MB/s	      1421 input-B/op	        11.00 messages/op	      4889 messages/s	         4.000 workers	 2517663 B/op	   45198 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-8     	     345	   2060115 ns/op	   0.69 MB/s	      1421 input-B/op	        11.00 messages/op	      5340 messages/s	         8.000 workers	 2537361 B/op	   45213 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-8     	     349	   2062161 ns/op	   0.69 MB/s	      1421 input-B/op	        11.00 messages/op	      5334 messages/s	         8.000 workers	 2536989 B/op	   45214 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-8     	     350	   2065668 ns/op	   0.69 MB/s	      1421 input-B/op	        11.00 messages/op	      5325 messages/s	         8.000 workers	 2529500 B/op	   45210 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-10    	     351	   2051348 ns/op	   0.69 MB/s	      1421 input-B/op	        11.00 messages/op	      5362 messages/s	        10.00 workers	 2543749 B/op	   45221 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-10    	     351	   2026127 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5429 messages/s	        10.00 workers	 2542723 B/op	   45222 allocs/op
BenchmarkCurrentCorpusApplicationJSONRepeatedReference-10    	     350	   2042446 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5386 messages/s	        10.00 workers	 2544874 B/op	   45222 allocs/op
BenchmarkCurrentCorpusApplicationJSON                        	     212	   3377806 ns/op	   0.42 MB/s	      1421 input-B/op	        11.00 messages/op	      3257 messages/s	         1.000 workers	 2260974 B/op	   37713 allocs/op
BenchmarkCurrentCorpusApplicationJSON                        	     210	   3407005 ns/op	   0.42 MB/s	      1421 input-B/op	        11.00 messages/op	      3229 messages/s	         1.000 workers	 2261000 B/op	   37713 allocs/op
BenchmarkCurrentCorpusApplicationJSON                        	     207	   3446926 ns/op	   0.41 MB/s	      1421 input-B/op	        11.00 messages/op	      3191 messages/s	         1.000 workers	 2261221 B/op	   37714 allocs/op
BenchmarkCurrentCorpusApplicationJSON-4                      	     350	   2014323 ns/op	   0.71 MB/s	      1421 input-B/op	        11.00 messages/op	      5461 messages/s	         4.000 workers	 2265150 B/op	   37721 allocs/op
BenchmarkCurrentCorpusApplicationJSON-4                      	     352	   2033133 ns/op	   0.70 MB/s	      1421 input-B/op	        11.00 messages/op	      5410 messages/s	         4.000 workers	 2266822 B/op	   37721 allocs/op
BenchmarkCurrentCorpusApplicationJSON-4                      	     352	   1916824 ns/op	   0.74 MB/s	      1421 input-B/op	        11.00 messages/op	      5739 messages/s	         4.000 workers	 2266712 B/op	   37721 allocs/op
BenchmarkCurrentCorpusApplicationJSON-8                      	     429	   1683834 ns/op	   0.84 MB/s	      1421 input-B/op	        11.00 messages/op	      6533 messages/s	         8.000 workers	 2283486 B/op	   37736 allocs/op
BenchmarkCurrentCorpusApplicationJSON-8                      	     423	   1693242 ns/op	   0.84 MB/s	      1421 input-B/op	        11.00 messages/op	      6496 messages/s	         8.000 workers	 2280721 B/op	   37736 allocs/op
BenchmarkCurrentCorpusApplicationJSON-8                      	     420	   1694174 ns/op	   0.84 MB/s	      1421 input-B/op	        11.00 messages/op	      6493 messages/s	         8.000 workers	 2279680 B/op	   37734 allocs/op
BenchmarkCurrentCorpusApplicationJSON-10                     	     429	   1673611 ns/op	   0.85 MB/s	      1421 input-B/op	        11.00 messages/op	      6573 messages/s	        10.00 workers	 2284519 B/op	   37741 allocs/op
BenchmarkCurrentCorpusApplicationJSON-10                     	     428	   1659364 ns/op	   0.86 MB/s	      1421 input-B/op	        11.00 messages/op	      6629 messages/s	        10.00 workers	 2286831 B/op	   37743 allocs/op
BenchmarkCurrentCorpusApplicationJSON-10                     	     426	   1672023 ns/op	   0.85 MB/s	      1421 input-B/op	        11.00 messages/op	      6579 messages/s	        10.00 workers	 2286092 B/op	   37743 allocs/op
PASS
