protocol,family,priority,implementation_status,authoritative_capture_count,material_status
Ethernet II,link,P0,done,1,collected
Ethernet 802.2,link,P1,done,0,missing
Ethernet 802.3,link,P1,done,1,collected
Ethernet SNAP,link,P1,done,0,missing
IEEE 802.1Q,link,P0,done,1,collected
IEEE 802.1ad QinQ,link,P1,done,1,collected
ARP,link,P0,done,1,collected
RARP,link,P2,todo,1,collected
PPP,link,P1,done,1,collected
PPPoE Discovery,link,P1,done,1,collected
PPPoE Session,link,P1,done,1,collected
LCP,link,P1,done,1,collected
PAP,link,P1,done,0,missing
CHAP,link,P1,done,1,collected
EAPOL,link,P1,done,1,collected
EAP,link,P1,done,1,collected
STP,link,P1,done,0,missing
RSTP,link,P1,done,0,missing
MSTP,link,P2,todo,0,missing
LLDP,link,P1,done,1,collected
CDP,link,P1,done,1,collected
LACP,link,P2,todo,1,collected
MACSec,link,P2,todo,0,missing
ISL,link,P4,todo,0,missing
LLC,link,P2,todo,1,collected
SNAP,link,P2,todo,0,missing
Loopback,link,P1,done,1,collected
Linux SLL,link,P1,done,0,missing
Linux SLL2,link,P2,todo,0,missing
IEEE 802.11,link,P1,done,1,collected
IEEE 802.11 Radiotap,link,P2,todo,1,collected
WEP,link,P2,todo,0,missing
WPA/RSN,link,P1,done,0,missing
FCoE,link,P2,todo,0,missing
Fibre Channel,link,P2,todo,0,missing
HomePlug AV,link,P4,todo,0,missing
IEEE 802.1AB,link,P4,todo,0,missing
IEEE 802.1X,link,P1,done,1,collected
IEEE 802.1ah PBB,link,P4,todo,0,missing
IEEE 802.3 Slow Protocols,link,P4,todo,0,missing
MRP-MMRP,link,P4,todo,0,missing
MRP-MVRP,link,P4,todo,0,missing
MRP-MSRP,link,P4,todo,0,missing
EOAM,link,P4,todo,0,missing
CFM,link,P4,todo,0,missing
E-LMI,link,P4,todo,0,missing
VNTAG,link,P4,todo,0,missing
TRILL,link,P4,todo,0,missing
SPB,link,P4,todo,0,missing
IPv4,internet,P0,done,1,collected
IPv6,internet,P0,done,1,collected
IPv6 Hop-by-Hop,internet,P2,todo,1,collected
IPv6 Routing Header,internet,P2,todo,1,collected
IPv6 Fragment,internet,P2,todo,1,collected
IPv6 Destination Options,internet,P2,todo,1,collected
ICMP,internet,P0,done,1,collected
ICMPv6,internet,P0,done,1,collected
ICMPv6 NDP,internet,P1,done,1,collected
ICMPv6 MLD,internet,P2,todo,1,collected
IGMP,internet,P1,done,1,collected
GRE,internet,P1,done,1,collected
IPIP,internet,P2,todo,1,collected
IPsec AH,internet,P1,done,1,collected
IPsec ESP,internet,P1,done,2,collected
IPcomp,internet,P4,todo,0,missing
MPLS,internet,P1,done,1,collected
MPLS PW,internet,P2,todo,0,missing
VXLAN,internet,P1,done,1,collected
Geneve,internet,P2,todo,1,collected
NVGRE,internet,P2,todo,0,missing
STT,internet,P4,todo,0,missing
GTP-C,internet,P2,todo,1,collected
GTP-U,internet,P2,todo,1,collected
GTPv2,internet,P2,todo,0,missing
Mobile IP,internet,P4,todo,0,missing
MIPv6,internet,P4,todo,0,missing
L2TP,internet,P1,done,1,collected
L2F,internet,P4,todo,0,missing
PPTP,internet,P1,done,1,collected
SSTP,internet,P2,todo,0,missing
OpenVPN,internet,P1,done,1,collected
WireGuard,internet,P1,done,1,collected
IKEv1,internet,P1,done,1,collected
IKEv2,internet,P1,done,1,collected
NAT-T,internet,P1,done,0,missing
Teredo,internet,P4,todo,1,collected
6in4,internet,P4,todo,1,collected
6to4,internet,P4,todo,1,collected
ISATAP,internet,P4,todo,0,missing
OSPF,routing,P1,done,1,collected
OSPFv3,routing,P2,todo,1,collected
BGP,routing,P1,done,1,collected
RIP,routing,P1,done,1,collected
RIPng,routing,P2,todo,1,collected
EIGRP,routing,P1,done,1,collected
IS-IS,routing,P2,todo,0,missing
IGRP,routing,P4,todo,0,missing
EGP,routing,P4,todo,0,missing
VRRP,routing,P1,done,1,collected
HSRP,routing,P1,done,1,collected
GLBP,routing,P2,todo,1,collected
CARP,routing,P4,todo,0,missing
PIM,routing,P2,todo,2,collected
DVMRP,routing,P4,todo,0,missing
MSDP,routing,P4,todo,0,missing
LDP,routing,P2,todo,1,collected
RSVP,routing,P2,todo,1,collected
BFD,routing,P2,todo,1,collected
LACP-marker,routing,P4,todo,0,missing
NHRP,routing,P2,todo,0,missing
DMVPN,routing,P2,todo,0,missing
OLSR,routing,P4,todo,0,missing
Babel,routing,P4,todo,0,missing
TCP,transport,P0,done,1,collected
UDP,transport,P0,done,1,collected
SCTP,transport,P1,done,1,collected
DCCP,transport,P4,todo,0,missing
UDP-Lite,transport,P4,todo,1,collected
QUIC,transport,P0,done,1,collected
NetBIOS,transport,P0,done,1,collected
NBT NS,transport,P0,done,1,collected
NBT DG,transport,P1,done,1,collected
NBT SS,transport,P0,done,0,missing
DNS,name-config,P0,done,1,collected
mDNS,name-config,P1,done,1,collected
LLMNR,name-config,P1,done,1,collected
NBNS,name-config,P0,done,1,collected
DoT,name-config,P1,done,1,collected
DoH,name-config,P1,done,1,collected
DoQ,name-config,P2,todo,1,collected
DHCP,name-config,P0,done,2,collected
DHCPv6,name-config,P1,done,1,collected
BOOTP,name-config,P1,done,1,collected
NTP,name-config,P1,done,4,collected
SNTP,name-config,P2,todo,1,collected
PTP,name-config,P1,done,1,collected
WINS,name-config,P2,todo,0,missing
WINS-Replication,name-config,P4,todo,0,missing
SSDP,name-config,P1,done,1,collected
UPnP,name-config,P1,done,1,collected
WS-Discovery,name-config,P2,todo,0,missing
Bonjour,name-config,P2,todo,0,missing
HTTP,web,P0,done,2,collected
HTTP/2,web,P0,done,1,collected
HTTP/3,web,P1,done,1,collected
WebSocket,web,P0,done,1,collected
SPDY,web,P4,todo,0,missing
TLS,web,P0,done,1,collected
SSL,web,P1,done,1,collected
DTLS,web,P1,done,1,collected
JA3/JA4,web,P0,done,0,missing
