frame.number	_ws.col.protocol	dcerpc.ver	dcerpc.pkt_type	dcerpc.dg_if_id	dcerpc.opnum	dcerpc.dg_frag_len
1	PNIO-CM	4	0	dea00001-6c97-11d1-8271-00a02442df7d	0	562
2	PNIO-CM	4	0	dea00001-6c97-11d1-8271-00a02442df7d	0	562
3	PNIO-CM	4	2	dea00001-6c97-11d1-8271-00a02442df7d	0	90
4	PNIO-CM	4	2	dea00001-6c97-11d1-8271-00a02442df7d	0	90
5	PNIO-CM	4	0	dea00001-6c97-11d1-8271-00a02442df7d	3	873
6	PNIO-CM	4	0	dea00001-6c97-11d1-8271-00a02442df7d	3	873
7	PNIO-CM	4	2	dea00001-6c97-11d1-8271-00a02442df7d	3	724
8	PNIO-CM	4	2	dea00001-6c97-11d1-8271-00a02442df7d	3	724
9	PNIO-CM	4	0	dea00001-6c97-11d1-8271-00a02442df7d	4	52
10	PNIO-CM	4	0	dea00001-6c97-11d1-8271-00a02442df7d	4	52
11	PNIO-CM	4	2	dea00001-6c97-11d1-8271-00a02442df7d	4	52
12	PNIO-CM	4	2	dea00001-6c97-11d1-8271-00a02442df7d	4	52
13	PNIO-CM	4	0	dea00002-6c97-11d1-8271-00a02442df7d	4	52
14	PNIO-CM	4	0	dea00002-6c97-11d1-8271-00a02442df7d	4	52
15	PNIO-CM	4	2	dea00002-6c97-11d1-8271-00a02442df7d	4	52
16	PNIO-CM	4	2	dea00002-6c97-11d1-8271-00a02442df7d	4	52
