frame.number	_ws.col.Protocol	kerberos.msg_type	kerberos.realm	kerberos.CNameString	kerberos.SNameString	kerberos.etype
1	KRB5	12	DENYDC.COM		krbtgt	23
2	KRB5	13	DENYDC.COM	des	host	23
3	KRB5	12	DENYDC.COM		krbtgt	23
4	KRB5	13	DENYDC.COM	xp1$	cifs	23
5	KRB5	12	DENYDC.COM		krbtgt	23
6	KRB5	13	DENYDC.COM	des	LDAP	23
7	KRB5	12	DENYDC.COM		krbtgt	23
8	KRB5	13	DENYDC.COM	des	krbtgt	23
9	KRB5	12	DENYDC.COM		krbtgt	23
10	KRB5	13	DENYDC.COM	des	cifs	23
11	KRB5	12	DENYDC.COM		krbtgt	23
12	KRB5	13	DENYDC.COM	des	ldap	23
13	KRB5	12	DENYDC.COM		krbtgt	23
14	KRB5	13	DENYDC.COM	des	cifs	23
15	KRB5	12	DENYDC.COM		krbtgt	23
16	KRB5	13	DENYDC.COM	u5	host	23
17	KRB5	12	DENYDC.COM		krbtgt	23
18	KRB5	13	DENYDC.COM	u5	LDAP	23
19	KRB5	12	DENYDC.COM		krbtgt	23
20	KRB5	13	DENYDC.COM	u5	krbtgt	23
21	KRB5	12	DENYDC.COM		krbtgt	23
22	KRB5	13	DENYDC.COM	u5	ldap	23
23	KRB5	12	DENYDC.COM		krbtgt	23
24	KRB5	13	DENYDC.COM	u5	cifs	23
31	KRB5	12	TESTBED1.CA		krbtgt	18
35	KRB5	13	TESTBED1.CA	UBUNTU64A$	ldap	23
