frame.number	_ws.col.protocol	frame.time_epoch	ip.src	udp.srcport	ip.dst	udp.dstport	sip.Method	sip.Status-Code	sip.Call-ID	sdp.connection_info.address	sdp.media.port	rtp.p_type	rtp.seq	rtp.timestamp	rtp.ssrc	udp.length	rtp.payload
1	SIP/SDP	1790127721.758857000	127.0.0.1	15073	127.0.0.1	15072	INVITE		1-54623@127.0.0.1	127.0.0.1	32300					523	
2	SIP	1790127721.759073000	127.0.0.1	15072	127.0.0.1	15073		180	1-54623@127.0.0.1							321	
3	SIP/SDP	1790127721.759104000	127.0.0.1	15072	127.0.0.1	15073		200	1-54623@127.0.0.1	127.0.0.1	32200					481	
4	SIP	1790127721.759196000	127.0.0.1	15073	127.0.0.1	15072	ACK		1-54623@127.0.0.1							372	
5	RTP	1790127722.330163000	127.0.0.1	32300	127.0.0.1	32200						0	5000	800000	0xcafe0111	180	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
6	RTP	1790127722.330339000	127.0.0.1	32200	127.0.0.1	32300						0	5000	800000	0xcafe0222	180	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
7	RTP	1790127722.351407000	127.0.0.1	32300	127.0.0.1	32200						0	5001	800160	0xcafe0111	180	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
8	RTP	1790127722.351550000	127.0.0.1	32200	127.0.0.1	32300						0	5001	800160	0xcafe0222	180	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
9	RTP	1790127722.374957000	127.0.0.1	32300	127.0.0.1	32200						0	5002	800320	0xcafe0111	180	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
10	RTP	1790127722.375080000	127.0.0.1	32200	127.0.0.1	32300						0	5002	800320	0xcafe0222	180	ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
