frame.number	smb2.cmd	smb2.msg_id	smb2.sesid	smb2.tid	smb2.filename	smb2.nt_status	smb2.flags.response
4	0	0	0x0000000000000000	0x00000000			False
6	0	0	0x0000000000000000	0x00000000		0x00000000	True
8	1	1	0x0000000000000000	0x00000000			False
9	1	1	0x000000001e8f1ce2	0x00000000		0xc0000016	True
10	1	2	0x000000001e8f1ce2	0x00000000			False
11	1	2	0x000000001e8f1ce2	0x00000000		0x00000000	True
12	3	3	0x000000001e8f1ce2	0x00000000			False
13	3	3	0x000000001e8f1ce2	0x82742ebb		0x00000000	True
14	11	4	0x000000001e8f1ce2	0x82742ebb			False
15	11	4	0x000000001e8f1ce2	0x82742ebb		0xc0000225	True
16	4	5	0x000000001e8f1ce2	0x82742ebb			False
17	4	5	0x000000001e8f1ce2	0x82742ebb		0x00000000	True
18	3	6	0x000000001e8f1ce2	0x00000000			False
19	3	6	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
20	5	7	0x000000001e8f1ce2	0xe42d3cf2			False
21	5	7	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
22	14	8	0x000000001e8f1ce2	0xe42d3cf2			False
23	14	8	0x000000001e8f1ce2	0xe42d3cf2	.	0x00000000	True
24	14	136	0x000000001e8f1ce2	0xe42d3cf2			False
25	14	136	0x000000001e8f1ce2	0xe42d3cf2		0x80000006	True
26	6	264	0x000000001e8f1ce2	0xe42d3cf2			False
27	6	264	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
28	5	265	0x000000001e8f1ce2	0xe42d3cf2			False
29	5	265	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
30	16	266	0x000000001e8f1ce2	0xe42d3cf2			False
31	16	266	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
32	6	267	0x000000001e8f1ce2	0xe42d3cf2			False
33	6	267	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
34	5	268	0x000000001e8f1ce2	0xe42d3cf2	fixture.txt		False
35	5	268	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
36	16	269	0x000000001e8f1ce2	0xe42d3cf2			False
37	16	269	0x000000001e8f1ce2	0xe42d3cf2	\\fixture.txt	0x00000000	True
38	8	270	0x000000001e8f1ce2	0xe42d3cf2			False
39	8	270	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
40	6	271	0x000000001e8f1ce2	0xe42d3cf2			False
41	6	271	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
42	5	272	0x000000001e8f1ce2	0xe42d3cf2	uploaded.txt		False
43	5	272	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
44	9	273	0x000000001e8f1ce2	0xe42d3cf2			False
45	9	273	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
46	6	274	0x000000001e8f1ce2	0xe42d3cf2			False
47	6	274	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
48	4	275	0x000000001e8f1ce2	0xe42d3cf2			False
49	4	275	0x000000001e8f1ce2	0xe42d3cf2		0x00000000	True
