frame.number	frame.protocols	udp.srcport	udp.dstport	stun.type	stun.type.method	stun.type.class	stun.channel	stun.length
1	eth:ethertype:vlan:ethertype:ip:tcp							
2	eth:ethertype:vlan:ethertype:ip:tcp							
3	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0001	0x0001	0x0000		84
4	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0001	0x0001	0x0000		84
5	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0101	0x0001	0x0010		76
6	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0101	0x0001	0x0010		76
7	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0001	0x0001	0x0000		92
8	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0001	0x0001	0x0000		92
9	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0001	0x0001	0x0000		84
10	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0101	0x0001	0x0010		76
11	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0001	0x0001	0x0000		92
12	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0101	0x0001	0x0010		68
13	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0101	0x0001	0x0010		68
14	eth:ethertype:vlan:ethertype:ip:tcp:stun			0x0101	0x0001	0x0010		68
15	eth:ethertype:vlan:ethertype:ip:tcp							
16	eth:ethertype:ip:udp:stun	43016	3478	0x0001	0x0001	0x0000		0
17	eth:ethertype:ip:udp:stun	43016	3478	0x0003	0x0003	0x0000		20
18	eth:ethertype:ip:udp:stun	3478	43016	0x0101	0x0001	0x0010		12
19	eth:ethertype:ip:udp:stun	3478	43016	0x0113	0x0003	0x0011		60
20	eth:ethertype:ip:udp:stun	43016	3478	0x0003	0x0003	0x0000		136
21	eth:ethertype:ip:udp:stun	3478	43016	0x0103	0x0003	0x0010		56
22	eth:ethertype:ip:udp:stun	43016	3478	0x0004	0x0004	0x0000		124
23	eth:ethertype:ip:udp:stun	3478	43016	0x0104	0x0004	0x0010		32
24	eth:ethertype:ip:icmp:ip:udp:stun	3478	43016	0x0104	0x0004	0x0010		32
25	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
26	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
27	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
28	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
29	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
30	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
31	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
32	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
33	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
34	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
35	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
36	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
37	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
38	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
39	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
