1	TCP	52433 → 13306 [SYN] Seq=0 Win=65535 Len=0 MSS=16344 WS=64 TSval=2657217518 TSecr=0 SACK_PERM
2	TCP	13306 → 52433 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=16344 WS=64 TSval=3810883534 TSecr=2657217518 SACK_PERM
3	TCP	52433 → 13306 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=2657217518 TSecr=3810883534
4	TCP	[TCP Window Update] 13306 → 52433 [ACK] Seq=1 Ack=1 Win=408256 Len=0 TSval=3810883534 TSecr=2657217518
5	MySQL	Server Greeting  proto=10 version=11.4.13-MariaDB
6	TCP	52433 → 13306 [ACK] Seq=1 Ack=88 Win=408192 Len=0 TSval=2657217518 TSecr=3810883534
7	MySQL	Login Request user=m2 db=m2
8	TCP	13306 → 52433 [ACK] Seq=88 Ack=252 Win=408000 Len=0 TSval=3810883534 TSecr=2657217518
9	MySQL	Response  OK
10	TCP	52433 → 13306 [ACK] Seq=252 Ack=165 Win=408128 Len=0 TSval=2657217518 TSecr=3810883534
11	MySQL	Request Query
12	TCP	13306 → 52433 [ACK] Seq=165 Ack=305 Win=407936 Len=0 TSval=3810883534 TSecr=2657217518
13	MySQL	Response  OK
14	TCP	52433 → 13306 [ACK] Seq=305 Ack=176 Win=408064 Len=0 TSval=2657217519 TSecr=3810883535
15	MySQL	Request Query
16	TCP	13306 → 52433 [ACK] Seq=176 Ack=340 Win=407936 Len=0 TSval=3810883535 TSecr=2657217519
17	MySQL	Response  OK
18	TCP	52433 → 13306 [ACK] Seq=340 Ack=187 Win=408064 Len=0 TSval=2657217519 TSecr=3810883535
19	MySQL	Request Ping
20	TCP	13306 → 52433 [ACK] Seq=187 Ack=345 Win=407936 Len=0 TSval=3810883535 TSecr=2657217519
21	MySQL	Response  OK
22	TCP	52433 → 13306 [ACK] Seq=345 Ack=198 Win=408064 Len=0 TSval=2657217519 TSecr=3810883535
23	MySQL	Request Prepare Statement
24	TCP	13306 → 52433 [ACK] Seq=198 Ack=428 Win=407872 Len=0 TSval=3810883535 TSecr=2657217519
25	MySQL	Response
26	TCP	52433 → 13306 [ACK] Seq=428 Ack=468 Win=407808 Len=0 TSval=2657217519 TSecr=3810883535
27	MySQL	Request Reset Statement
28	TCP	13306 → 52433 [ACK] Seq=468 Ack=437 Win=407808 Len=0 TSval=3810883535 TSecr=2657217519
29	MySQL	Response  OK
30	TCP	52433 → 13306 [ACK] Seq=437 Ack=479 Win=407808 Len=0 TSval=2657217519 TSecr=3810883535
31	MySQL	Request Execute Statement
