ok  	github.com/yaklang/yaklang/common/sca	1.881s
ok  	github.com/yaklang/yaklang/common/sca/analyzer	0.404s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/c/conan	0.644s
?   	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/types	[no test files]
?   	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/utils	[no test files]
?   	github.com/yaklang/yaklang/common/sca/core/budget	[no test files]
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/golang/binary	3.066s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/java/gradle	0.939s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/java/pom	1.241s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/nodejs/npm	1.508s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/nodejs/pnpm	2.484s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/nodejs/yarn	2.212s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/php/composer	2.769s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/packaging	2.866s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/pip	2.923s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/pipenv	3.004s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/poetry	2.997s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/ruby/bundler	3.021s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/ruby/gemspec	3.195s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/rust/cargo	3.152s
?   	github.com/yaklang/yaklang/common/sca/internal/collection	[no test files]
?   	github.com/yaklang/yaklang/common/sca/internal/fsio	[no test files]
?   	github.com/yaklang/yaklang/common/sca/internal/testcheck	[no test files]
?   	github.com/yaklang/yaklang/common/sca/lazyfile	[no test files]
?   	github.com/yaklang/yaklang/common/sca/license	[no test files]
ok  	github.com/yaklang/yaklang/common/sca/core/gomod	3.350s
ok  	github.com/yaklang/yaklang/common/sca/core/jsonrecord	3.692s
ok  	github.com/yaklang/yaklang/common/sca/core/locktoml	3.708s
ok  	github.com/yaklang/yaklang/common/sca/core/lockyaml	3.607s
ok  	github.com/yaklang/yaklang/common/sca/core/pyrequire	3.677s
ok  	github.com/yaklang/yaklang/common/sca/core/rpm	6.382s
ok  	github.com/yaklang/yaklang/common/sca/core/textdecode	3.580s
ok  	github.com/yaklang/yaklang/common/sca/core/xmlrecord	3.590s
ok  	github.com/yaklang/yaklang/common/sca/dxtypes	3.352s
ok  	github.com/yaklang/yaklang/common/sca/model	3.307s
