ok  	github.com/yaklang/yaklang/common/sca	1.092s
ok  	github.com/yaklang/yaklang/common/sca/analyzer	2.115s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/c/conan	1.344s
?   	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/types	[no test files]
?   	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/utils	[no test files]
?   	github.com/yaklang/yaklang/common/sca/core/budget	[no test files]
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/golang/binary	2.287s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/java/gradle	0.727s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/java/pom	0.551s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/nodejs/npm	1.791s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/nodejs/pnpm	1.191s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/nodejs/yarn	1.535s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/php/composer	2.435s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/packaging	2.006s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/pip	2.033s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/pipenv	1.844s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/python/poetry	2.001s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/ruby/bundler	1.989s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/ruby/gemspec	1.971s
ok  	github.com/yaklang/yaklang/common/sca/analyzer/dep-parser/rust/cargo	1.896s
?   	github.com/yaklang/yaklang/common/sca/internal/collection	[no test files]
?   	github.com/yaklang/yaklang/common/sca/internal/fsio	[no test files]
?   	github.com/yaklang/yaklang/common/sca/internal/testcheck	[no test files]
?   	github.com/yaklang/yaklang/common/sca/lazyfile	[no test files]
?   	github.com/yaklang/yaklang/common/sca/license	[no test files]
ok  	github.com/yaklang/yaklang/common/sca/core/gomod	1.776s
ok  	github.com/yaklang/yaklang/common/sca/core/jsonrecord	1.847s
ok  	github.com/yaklang/yaklang/common/sca/core/locktoml	1.888s
ok  	github.com/yaklang/yaklang/common/sca/core/lockyaml	1.813s
ok  	github.com/yaklang/yaklang/common/sca/core/pyrequire	1.825s
ok  	github.com/yaklang/yaklang/common/sca/core/rpm	4.950s
ok  	github.com/yaklang/yaklang/common/sca/core/textdecode	1.822s
ok  	github.com/yaklang/yaklang/common/sca/core/xmlrecord	2.107s
ok  	github.com/yaklang/yaklang/common/sca/dxtypes	2.117s
ok  	github.com/yaklang/yaklang/common/sca/model	2.262s
